spine,title,year,director,boxset,movie_id,imdb_rating,metascore
1263,The Three Musketeers,1973,Richard Lester,Two Films by Richard Lester,the-three-musketeers-1973,7.1,77
1262,Killer of Sheep,1978,Charles Burnett,Standalone Only,killer-of-sheep-1978,7.2,96
1261,The Wind Will Carry Us,1999,Abbas Kiarostami,Standalone Only,the-wind-will-carry-us-1999,7.4,87
1260,Basquiat,1996,Julian Schnabel,Standalone Only,basquiat-1996,6.9,65
1259,Anora,2024,Sean Baker,Standalone Only,anora-2024,7.4,91
1258,Prince of Broadway,2008,Sean Baker,Standalone Only,prince-of-broadway-2008,7.1,61
1257,Manon of the Spring,1986,Claude Berri,Two Films by Claude Berri,manon-of-the-spring-1986,8,70
1257,Jean de Florette,1986,Claude Berri,Two Films by Claude Berri,jean-de-florette-1986,8.1,75
1256,Choose Me,1984,Alan Rudolph,Standalone Only,choose-me-1984,6.7,NA
1255,Night Moves,1975,Arthur Penn,Standalone Only,night-moves-1975,7.1,82
1254,Godzilla vs. Biollante,1989,Kazuki Omori,Standalone Only,godzilla-vs-biollante-1989,6.5,NA
1253,A Woman of Paris: A Drama of Fate,1923,Charlie Chaplin,Standalone Only,a-woman-of-paris-a-drama-of-fate-1923,6.9,76
1252,Performance,1970,Donald Cammell & Nicolas Roeg,Standalone Only,performance-1970,6.7,69
1251,Drugstore Cowboy,1989,Gus Van Sant,Standalone Only,drugstore-cowboy-1989,7.2,82
1250,Crossing Delancey,1988,Joan Micklin Silver,Standalone Only,crossing-delancey-1988,7,73
1249,King Lear,1987,Jean-Luc Godard,Standalone Only,king-lear-1987,5.4,NA
1248,Winchester '73,1950,Anthony Mann,Standalone Only,winchester-73-1950,7.6,83
1247,"Jo Jo Dancer, Your Life Is Calling",1986,Richard Pryor,Standalone Only,jo-jo-dancer-your-life-is-calling-1986,6.3,NA
1246,The Grifters,1990,Stephen Frears,Standalone Only,the-grifters-1990,6.9,86
1245,The Mother and the Whore,1973,Jean Eustache,Standalone Only,the-mother-and-the-whore-1973,7.7,89
1244,Eastern Condors,1987,Sammo Hung,Standalone Only,eastern-condors-1987,7.1,NA
1243,No Country for Old Men,2007,Joel Coen & Ethan Coen,Standalone Only,no-country-for-old-men-2007,8.2,92
1242,The Shape of Water,2017,Guillermo del Toro,Standalone Only,the-shape-of-water-2017,7.3,87
1241,Paper Moon,1973,Peter Bogdanovich,Standalone Only,paper-moon-1973,8.1,77
1240,Funny Girl,1968,William Wyler,Standalone Only,funny-girl-1968,7.4,88
1239,Scarface,1932,Howard Hawks,Standalone Only,scarface-1932,7.7,90
1238,Gummo,1997,Harmony Korine,Standalone Only,gummo-1997,6.6,19
1237,Demon Pond,1979,Masahiro Shinoda,Standalone Only,demon-pond-1979,7,NA
1236,The Seventh Victim,1943,Mark Robson,I Walked with a Zombie / The Seventh Victim: Produced by Val Lewton,the-seventh-victim-1943,6.7,NA
1236,I Walked with a Zombie,1943,Jacques Tourneur,I Walked with a Zombie / The Seventh Victim: Produced by Val Lewton,i-walked-with-a-zombie-1943,7,NA
1235,Happiness,1998,Todd Solondz,Standalone Only,happiness-1998,7.7,81
1234,All of Us Strangers,2023,Andrew Haigh,Standalone Only,all-of-us-strangers-2023,7.6,90
1233,Nowhere,1997,Gregg Araki,Gregg Araki’s Teen Apocalypse Trilogy,nowhere-1997,6.6,44
1233,The Doom Generation,1995,Gregg Araki,Gregg Araki’s Teen Apocalypse Trilogy,the-doom-generation-1995,6.1,48
1233,Totally F***ed Up,1993,Gregg Araki,Gregg Araki’s Teen Apocalypse Trilogy,totally-fed-up-1993,6.4,62
1232,Mother,1996,Albert Brooks,Standalone Only,mother-1996,6.9,76
1231,Real Life,1979,Albert Brooks,Standalone Only,real-life-1979,7,64
1230,Not a Pretty Picture,1976,Martha Coolidge,Standalone Only,not-a-pretty-picture-1976,8.1,NA
1229,The Long Farewell,1971,Kira Muratova,Two Films by Kira Muratova,the-long-farewell-1971,7.3,NA
1229,Brief Encounters,1967,Kira Muratova,Two Films by Kira Muratova,brief-encounters-1967,7.4,NA
1228,Farewell My Concubine,1993,Chen Kaige,Standalone Only,farewell-my-concubine-1993,8.1,84
1227,Risky Business,1983,Paul Brickman,Standalone Only,risky-business-1983,6.8,75
1226,Perfect Days,2023,Wim Wenders,Standalone Only,perfect-days-2023,7.9,80
1225,"Black God, White Devil",1964,Glauber Rocha,Standalone Only,black-god-white-devil-1964,7.2,NA
1224,Pat Garrett & Billy the Kid,1973,Sam Peckinpah,Standalone Only,pat-garrett-billy-the-kid-1973,7.2,53
1223,The Underground Railroad,2021,Barry Jenkins,Standalone Only,the-underground-railroad-2021,7.4,NA
1222,Victims of Sin,1951,Emilio Fernández,Standalone Only,victims-of-sin-1951,7.5,NA
1221,Querelle,1982,Rainer Werner Fassbinder,Standalone Only,querelle-1982,6.6,NA
1220,Bound,1996,Lana Wachowski & Lilly Wachowski,Standalone Only,bound-1996,7.3,64
1219,Girlfight,2000,Karyn Kusama,Standalone Only,girlfight-2000,6.7,70
1218,Anatomy of a Fall,2023,Justine Triet,Standalone Only,anatomy-of-a-fall-2023,7.6,86
1217,Ceddo,1977,Ousmane Sembène,Three Revolutionary Films by Ousmane Sembène,ceddo-1977,NA,NA
1217,Xala,1975,Ousmane Sembène,Three Revolutionary Films by Ousmane Sembène,xala-1975,6.7,80
