spine,title,year,director,boxset,runtime_min,genre,country,language,tmdb_popularity,tmdb_vote_avg,tmdb_vote_count,imdb_rating,metascore,tmdb_id,movie_id
1030,American Boy: A Profile of Steven Prince,1978,Martin Scorsese,Scorsese Shorts,55,Documentary,United States of America,English,1.0621,6.64,43,7.3,NA,33470,american-boy-a-profile-of-steven-prince-1978
1030,The Big Shave,1967,Martin Scorsese,Scorsese Shorts,6,"Horror, Drama",United States of America,English,0.8085,6.93,350,7,NA,48714,the-big-shave-1967
1030,"It's Not Just You, Murray!",1964,Martin Scorsese,Scorsese Shorts,17,"Comedy, Crime",United States of America,English,0.8589,5.8,61,6.4,NA,36893,its-not-just-you-murray-1964
1030,What's a Nice Girl Like You Doing in a Place Like This?,1963,Martin Scorsese,Scorsese Shorts,10,Comedy,United States of America,English,0.8395,6.1,74,6.4,NA,48717,whats-a-nice-girl-like-you-doing-in-a-place-like-this-1963
1029,Husbands,1970,John Cassavetes,Standalone,131,"Comedy, Drama",United States of America,English,1.3517,6.728,158,7.1,66,52105,husbands-1970
1028,"Dance, Girl, Dance",1940,Dorothy Arzner,Standalone,90,"Drama, Comedy, Romance",United States of America,English,1.2833,6.3,70,6.8,NA,32196,dance-girl-dance-1940
1027,The Great Escape,1963,John Sturges,Standalone,173,"Adventure, Drama, War",United States of America,English,4.8027,7.928,2796,8.2,86,5925,the-great-escape-1963
1026,Me and You and Everyone We Know,2005,Miranda July,Standalone,91,"Comedy, Drama","United Kingdom, United States of America",English,1.5403,7.012,366,7.2,76,1382,me-and-you-and-everyone-we-know-2005
1025,The Grand Budapest Hotel,2014,Wes Anderson,The Wes Anderson Archive,100,"Comedy, Drama","United States of America, Germany",English,10.2537,8.032,15884,8.1,88,120467,the-grand-budapest-hotel-2014
1024,Destry Rides Again,1939,George Marshall,Standalone,94,"Western, Comedy",United States of America,English,0.9592,7.192,190,7.6,81,43828,destry-rides-again-1939
1023,The Cremator,1969,Juraj Herz,Standalone,96,"Horror, Drama, Comedy",Czechoslovakia,Czech,0.9767,7.8,258,8,NA,18352,the-cremator-1969
1022,The Prince of Tides,1991,Barbra Streisand,Standalone,132,"Drama, Romance",United States of America,English,1.853,6.604,298,6.8,65,10333,the-prince-of-tides-1991
1021,Show Boat,1936,James Whale,Standalone,113,"Music, Romance, Drama, Comedy",United States of America,English,0.7255,6.8,47,7.4,88,31548,show-boat-1936
1020,Leave Her to Heaven,1945,John M. Stahl,Standalone,110,"Drama, Thriller, Romance",United States of America,English,1.2165,7.4,274,7.6,NA,17645,leave-her-to-heaven-1945
1019,Bamboozled,2000,Spike Lee,Standalone,136,"Comedy, Drama",United States of America,English,3.4797,6.239,153,6.7,56,24664,bamboozled-2000
1018,Paris Is Burning,1990,Jennie Livingston,Standalone,78,Documentary,United States of America,English,1.4558,7.998,531,8.2,82,31225,paris-is-burning-1990
1017,The Fabulous Baron Munchausen,1962,Karel Zeman,Three Fantastic Journeys by Karel Zeman,85,"Animation, Fantasy, Adventure, Comedy",Czechoslovakia,Czech,1.4091,7.382,89,7.7,NA,41213,the-fabulous-baron-munchausen-1962
1016,The Fabulous World of Jules Verne,1958,Karel Zeman,Three Fantastic Journeys by Karel Zeman,83,"Adventure, Science Fiction",Czechoslovakia,Czech,1.0879,7.1,87,7.5,NA,19759,the-fabulous-world-of-jules-verne-1958
1015,Journey to the Beginning of Time,1955,Karel Zeman,Three Fantastic Journeys by Karel Zeman,85,"Adventure, Fantasy, Family",Czechoslovakia,Czech,0.9489,7.199,73,7.1,NA,8779,journey-to-the-beginning-of-time-1955
1014,Roma,2018,Alfonso Cuarón,Standalone,135,Drama,"United Kingdom, United States of America",Spanish; Castilian,4.6958,7.623,4093,7.6,96,426426,roma-2018
1013,Theorem,1968,Pier Paolo Pasolini,Pasolini 101,95,"Mystery, Drama",Italy,Italian,1.972,7.007,440,7,NA,5335,theorem-1968
1012,All About My Mother,1999,Pedro Almodóvar,Standalone,101,"Comedy, Drama","Spain, France",Spanish; Castilian,3.2783,7.6,2042,7.8,87,99,all-about-my-mother-1999
1011,Fail Safe,1964,Sidney Lumet,Standalone,112,"Thriller, Drama, War",United States of America,English,2.4668,7.818,455,8,75,502,fail-safe-1964
1010,The Little Soldier,1963,Jean-Luc Godard,Standalone,87,"Drama, Romance",France,French,0.98,6.9,183,7.1,97,50785,the-little-soldier-1963
1009,Holiday,1938,George Cukor,Standalone,97,"Comedy, Romance, Drama",United States of America,English,1.3693,7.3,285,7.7,NA,16274,holiday-1938
1008,Old Joy,2006,Kelly Reichardt,Standalone,74,Drama,United States of America,English,1.3615,6.354,199,6.8,84,26518,old-joy-2006
1007,Until the End of the World,1991,Wim Wenders,Standalone,158,"Drama, Science Fiction, Adventure","Germany, Australia, France",German,2.1804,6.76,235,6.8,63,10341,until-the-end-of-the-world-1991
1006,The Story of Temple Drake,1933,Stephen Roberts,Standalone,71,"Crime, Drama",United States of America,English,0.602,6.4,40,7.1,NA,27986,the-story-of-temple-drake-1933
1005,Cold War,2018,Paweł Pawlikowski,Standalone,88,"Romance, Music, Drama","Poland, United Kingdom, France",Polish,1.5884,7.434,1575,7.5,90,440298,cold-war-2018
1004,"Now, Voyager",1942,Irving Rapper,Standalone,117,"Romance, Drama",United States of America,English,1.1865,7.4,226,7.9,70,32847,now-voyager-1942
1003,All About Eve,1950,Joseph L. Mankiewicz,Standalone,139,Drama,United States of America,English,2.6028,8.1,1669,8.2,98,705,all-about-eve-1950
1002,Betty Blue,1986,Jean-Jacques Beineix,Standalone,120,"Drama, Romance",France,French,2.8337,7.218,457,7.3,56,11986,betty-blue-1986
1001,The Daytrippers,1996,Greg Mottola,Standalone,87,"Comedy, Drama",United States of America,English,1.2626,6.5,102,7,73,49806,the-daytrippers-1996
1000,Terror of Mechagodzilla,1975,Ishirō Honda,Godzilla: The Showa-Era Films,83,"Science Fiction, Action, Drama",Japan,Japanese,1.9077,6.826,238,6.1,NA,19333,terror-of-mechagodzilla-1975
1000,Godzilla vs. Mechagodzilla,1974,Jun Fukuda,Godzilla: The Showa-Era Films,84,"Action, Adventure, Science Fiction",Japan,Japanese,1.5559,6.993,275,6.2,NA,38582,godzilla-vs-mechagodzilla-1974
1000,Godzilla vs. Megalon,1973,Jun Fukuda,Godzilla: The Showa-Era Films,82,"Action, Adventure, Science Fiction, Fantasy",Japan,Japanese,2.1686,6.1,233,4.8,NA,39264,godzilla-vs-megalon-1973
1000,Godzilla vs. Gigan,1972,Jun Fukuda,Godzilla: The Showa-Era Films,89,"Action, Adventure, Science Fiction",Japan,Japanese,1.9862,6.4,220,5.6,NA,19336,godzilla-vs-gigan-1972
1000,Godzilla vs. Hedorah,1971,Yoshimitsu Banno,Godzilla: The Showa-Era Films,85,"Science Fiction, Action, Horror",Japan,Japanese,2.4046,6.766,237,6.1,NA,39464,godzilla-vs-hedorah-1971
1000,All Monsters Attack,1969,Ishirō Honda,Godzilla: The Showa-Era Films,70,"Fantasy, Science Fiction, Family",Japan,Japanese,1.7674,5.102,205,3.9,NA,39462,all-monsters-attack-1969
1000,Destroy All Monsters,1968,Ishirō Honda,Godzilla: The Showa-Era Films,89,"Science Fiction, Action",Japan,Japanese,2.3757,6.9,269,6.4,NA,3107,destroy-all-monsters-1968
1000,Son of Godzilla,1967,Jun Fukuda,Godzilla: The Showa-Era Films,86,"Adventure, Family, Science Fiction",Japan,Japanese,1.903,6.4,236,5.2,NA,18627,son-of-godzilla-1967
1000,"Ebirah, Horror of the Deep",1966,Jun Fukuda,Godzilla: The Showa-Era Films,87,"Science Fiction, Action, Fantasy",Japan,Japanese,2.1526,6.3,211,5.5,NA,3115,ebirah-horror-of-the-deep-1966
1000,Invasion of Astro-Monster,1965,Ishirō Honda,Godzilla: The Showa-Era Films,96,"Science Fiction, Action","Japan, United States of America",Japanese,2.5495,6.8,242,6.2,NA,19545,invasion-of-astromonster-1965
1000,"Ghidorah, the Three-Headed Monster",1964,Ishirō Honda,Godzilla: The Showa-Era Films,92,"Science Fiction, Action, Fantasy, Thriller",Japan,Japanese,2.6047,6.952,281,6.5,NA,15766,ghidorah-the-threeheaded-monster-1964
1000,Mothra vs. Godzilla,1964,Ishirō Honda,Godzilla: The Showa-Era Films,89,"Drama, Action, Science Fiction",Japan,Japanese,4.0184,7,326,6.5,NA,1682,mothra-vs-godzilla-1964
1000,King Kong vs. Godzilla,1963,"Ishirō Honda, Thomas Montgomery",Godzilla: The Showa-Era Films,97,"Science Fiction, Comedy, Adventure, Fantasy, Action",Japan,Japanese,2.8143,6.891,334,5.7,40,1680,king-kong-vs-godzilla-1963
1000,King Kong vs. Godzilla,1962,Ishirō Honda,Godzilla: The Showa-Era Films,97,"Science Fiction, Comedy, Adventure, Fantasy, Action",Japan,Japanese,2.8143,6.891,334,6.2,NA,1680,king-kong-vs-godzilla-1962
1000,Godzilla Raids Again,1955,Ishirō Honda,Godzilla: The Showa-Era Films,82,"Science Fiction, Horror, Action",Japan,Japanese,2.2505,5.975,321,5.7,NA,1679,godzilla-raids-again-1955
999,Matewan,1987,John Sayles,Standalone,132,"Drama, History",United States of America,English,2.5011,7.395,128,7.9,73,24276,matewan-1987
998,When We Were Kings,1996,Leon Gast,Standalone,89,"Documentary, TV Movie, History, Music",United States of America,English,1.2203,7.562,249,7.9,83,10548,when-we-were-kings-1996
997,Cluny Brown,1946,Ernst Lubitsch,Standalone,100,"Romance, Comedy",United States of America,English,0.8399,7.2,100,7.4,NA,52270,cluny-brown-1946
996,The Circus,1928,Charlie Chaplin,Standalone,72,"Comedy, Romance, Drama",United States of America,None Spoken,2.0582,7.936,878,8.1,90,28978,the-circus-1928
995,Polyester,1981,John Waters,Standalone,86,"Comedy, Drama","United Kingdom, United States of America",English,3.4301,7.005,185,7,72,14269,polyester-1981
994,Local Hero,1983,Bill Forsyth,Standalone,111,"Comedy, Drama",United Kingdom,English,54.0579,6.8,392,7.3,83,11235,local-hero-1983
993,The Cloud-Capped Star,1960,Ritwik Ghatak,Standalone,127,Drama,India,Bengali,0.9705,7.209,55,7.8,NA,59239,the-cloudcapped-star-1960
992,Through the Olive Trees,1994,Abbas Kiarostami,Standalone,104,"Drama, Romance","Iran, France",Persian,1.2925,7.4,202,7.7,NA,47104,through-the-olive-trees-1994
991,"Life, and Nothing More…",1992,Abbas Kiarostami,Standalone,95,"Drama, Adventure",Iran,Persian,1.7201,7.696,168,7.9,NA,83761,life-and-nothing-more-1992
990,Where Is the Friend's House?,1987,Abbas Kiarostami,Standalone,83,"Drama, Adventure",Iran,Persian,1.6163,7.895,423,8.1,NA,49964,where-is-the-friends-house-1987
989,The Flavor of Green Tea Over Rice,1952,Yasujirō Ozu,Standalone,116,Drama,Japan,Japanese,1.9873,7.5,100,7.7,NA,55197,the-flavor-of-green-tea-over-rice-1952
988,The Inland Sea,1991,Lucille Carra,Standalone,56,Documentary,"Japan, United States of America",English,0.4659,6.7,7,7,NA,367453,the-inland-sea-1991
987,Klute,1971,Alan J. Pakula,Standalone,114,"Thriller, Mystery, Crime",United States of America,English,2.2723,6.8,500,7.1,81,466,klute-1971
986,The Baker's Wife,1938,Marcel Pagnol,Standalone,133,"Comedy, Drama",France,French,0.5045,7.385,96,7.5,NA,43844,the-bakers-wife-1938
985,Europa Europa,1990,Agnieszka Holland,Standalone,112,"History, Drama, War","France, Germany, Poland",German,2.033,7.246,272,7.5,75,8996,europa-europa-1990
984,Nineteen Eighty-Four,1984,Michael Radford,Standalone,113,"Drama, Science Fiction",United Kingdom,English,3.9638,6.786,1623,6.6,NA,9314,nineteen-eightyfour-1984
983,War and Peace,1965,Sergei Bondarchuk,Standalone,422,"History, Drama, War, Romance",Soviet Union,Russian,1.6729,7.5,152,8.3,NA,29266,war-and-peace-1965
982,Hedwig and the Angry Inch,2001,John Cameron Mitchell,Standalone,95,"Comedy, Music, Drama",United States of America,English,1.6491,7.5,419,7.7,85,13403,hedwig-and-the-angry-inch-2001
981,Humanité,1999,Bruno Dumont,Standalone,149,"Drama, Mystery",France,French,0.8723,6.617,111,6.9,NA,65296,humanité-1999
980,The Life of Jesus,1997,Bruno Dumont,Standalone,96,Drama,France,French,0.8348,6.6,90,7,74,27067,the-life-of-jesus-1997
979,Swing Time,1936,George Stevens,Standalone,103,"Romance, Comedy",United States of America,English,1.024,6.84,247,7.5,91,20325,swing-time-1936
978,"One Sings, the Other Doesn't",1977,Agnès Varda,Standalone,122,"Drama, Music","Belgium, France, Netherlands Antilles",French,0.8942,7.1,112,7.4,NA,63318,one-sings-the-other-doesnt-1977
977,Blue Velvet,1986,David Lynch,Standalone,120,"Mystery, Thriller, Crime",United States of America,English,5.2637,7.6,3764,7.7,75,793,blue-velvet-1986
976,Let the Sunshine In,2017,Claire Denis,Standalone,94,"Comedy, Drama, Romance","Belgium, France",French,1.1712,5.2,220,6,79,431017,let-the-sunshine-in-2017
975,Funny Games,1997,Michael Haneke,Standalone,109,"Drama, Horror, Thriller",Austria,German,3.0949,7.301,2040,7.5,69,10234,funny-games-1997
974,The Heiress,1949,William Wyler,Standalone,115,"Drama, Romance, History",United States of America,English,1.3157,7.753,273,8.1,NA,28571,the-heiress-1949
973,My Brilliant Career,1979,Gillian Armstrong,Standalone,100,"Drama, Romance",Australia,English,0.8197,6.151,76,7.1,77,16659,my-brilliant-career-1979
972,Police Story 2,1988,Jackie Chan,Standalone,105,"Action, Crime, Thriller",Hong Kong,Cantonese,4.4383,7.077,613,7.1,68,10753,police-story-2-1988
971,Police Story,1985,Jackie Chan,Standalone,100,"Action, Crime, Comedy",Hong Kong,Cantonese,5.0417,7.5,1017,7.5,78,9056,police-story-1985
970,A Face in the Crowd,1957,Elia Kazan,Standalone,125,Drama,United States of America,English,1.3198,7.6,269,8.2,72,21849,a-face-in-the-crowd-1957
969,Diamonds of the Night,1964,Jan Němec,Standalone,67,"Drama, War",Czechoslovakia,Czech,0.6436,7.1,74,7.3,NA,100589,diamonds-of-the-night-1964
968,Japón,2002,Carlos Reygadas,Standalone,134,Drama,"Germany, Mexico, Netherlands, Spain",Spanish; Castilian,0.6316,6.6,70,6.9,NA,36211,japón-2002
967,I Wanna Hold Your Hand,1978,Robert Zemeckis,Standalone,99,"Comedy, Music",United States of America,English,0.9693,6.282,117,6.8,64,55457,i-wanna-hold-your-hand-1978
966,Detour,1945,Edgar G. Ulmer,Standalone,68,"Drama, Thriller",United States of America,English,1.4628,7.232,405,7.3,NA,20367,detour-1945
965,Wanda,1970,Barbara Loden,Standalone,103,"Drama, Crime",United States of America,English,1.2258,6.793,152,7.1,NA,80560,wanda-1970
964,The Kid Brother,1927,Ted Wilde,Standalone,82,"Comedy, Drama",United States of America,None Spoken,1.0993,6.899,99,7.6,NA,16661,the-kid-brother-1927
963,To Sleep with Anger,1990,Charles Burnett,Standalone,101,Drama,United States of America,English,0.9016,6.7,62,7.2,NA,94725,to-sleep-with-anger-1990
962,Death in Venice,1971,Luchino Visconti,Standalone,131,Drama,"France, Italy",Italian,1.5369,7.232,534,7.3,NA,6619,death-in-venice-1971
961,Shame,1968,Ingmar Bergman,Standalone,104,"War, Drama",Sweden,Swedish,2.0852,7.525,239,8,NA,26372,shame-1968
960,The Truth,1960,Henri-Georges Clouzot,Standalone,127,"Drama, Romance","France, Italy",French,1.2797,7.598,199,7.6,NA,61711,the-truth-1960
959,In the Heat of the Night,1967,Norman Jewison,Standalone,109,"Crime, Drama, Mystery, Thriller",United States of America,English,3.236,7.662,1217,7.9,76,10633,in-the-heat-of-the-night-1967
958,"4 Months, 3 Weeks and 2 Days",2007,Cristian Mungiu,Standalone,114,Drama,"Belgium, Romania",Romanian; Moldavian; Moldovan,1.6965,7.546,806,7.9,97,2009,4-months-3-weeks-and-2-days-2007
957,Mikey and Nicky,1976,Elaine May,Standalone,106,"Crime, Drama",United States of America,English,1.2324,6.9,191,7.3,81,59143,mikey-and-nicky-1976
956,24 Frames,2017,Abbas Kiarostami,Standalone,114,Drama,"Iran, France",Persian,0.6143,6.6,57,6.8,77,377269,24-frames-2017
955,Panic,1946,Julien Duvivier,Standalone,99,"Drama, Crime, Thriller",France,French,0.5612,7.358,88,4.9,NA,43462,panic-1946
954,Forty Guns,1957,Samuel Fuller,Standalone,80,"Western, Drama",United States of America,English,0.785,6.54,137,7,NA,14837,forty-guns-1957
953,A Dry White Season,1989,Euzhan Palcy,Standalone,107,"Drama, Thriller",United States of America,English,1.2555,6.6,112,7,68,32075,a-dry-white-season-1989
952,The Magnificent Ambersons,1942,Orson Welles,Standalone,88,"Drama, Romance",United States of America,English,1.0443,7.3,470,7.6,93,965,the-magnificent-ambersons-1942
951,True Stories,1986,David Byrne,Standalone,89,"Comedy, Music",United States of America,English,1.3219,6.7,136,7.2,67,24798,true-stories-1986
950,Some Like It Hot,1959,Billy Wilder,Standalone,123,"Comedy, Romance, Crime",United States of America,English,5.1474,8.084,3816,8.2,98,239,some-like-it-hot-1959
949,A Story from Chikamatsu,1954,Kenji Mizoguchi,Standalone,102,"Drama, Romance",Japan,Japanese,1.7783,7.785,151,8,NA,35861,a-story-from-chikamatsu-1954
948,The Princess Bride,1987,Rob Reiner,Standalone,99,"Adventure, Family, Fantasy, Comedy, Romance",United States of America,English,7.6578,7.692,5009,8,78,2493,the-princess-bride-1987
947,Shampoo,1975,Hal Ashby,Standalone,110,"Comedy, Drama",United States of America,English,1.8708,5.989,233,6.4,65,31121,shampoo-1975
946,Eight Hours Don’t Make a Day,1972,Rainer Werner Fassbinder,Standalone,500,"Comedy, Drama",Germany,German,2.1043,7.6,19,4.2,NA,39837,eight-hours-dont-make-a-day-1972
945,A Raisin in the Sun,1961,Daniel Petrie,Standalone,128,"Drama, Romance",United States of America,English,1.11,7.684,144,8,87,29478,a-raisin-in-the-sun-1961
944,Cold Water,1994,Olivier Assayas,Standalone,95,Drama,France,French,0.6261,6.283,53,7,90,64901,cold-water-1994
943,Memories of Underdevelopment,1968,Tomás Gutiérrez Alea,Standalone,99,Drama,Cuba,Spanish; Castilian,0.4554,7.247,89,7.6,NA,47576,memories-of-underdevelopment-1968
942,The Tree of Life,2011,Terrence Malick,Standalone,139,"Drama, Fantasy",United States of America,English,3.9919,6.723,3300,6.8,85,8967,the-tree-of-life-2011
941,Smithereens,1982,Susan Seidelman,Standalone,94,"Drama, Music, Romance",United States of America,English,1.9359,6.4,46,6.7,72,94066,smithereens-1982
940,The Ballad of Gregorio Cortez,1982,Robert M. Young,Standalone,106,"Western, History",United States of America,English,1.3184,6.9,27,7,NA,218500,the-ballad-of-gregorio-cortez-1982
939,A Matter of Life and Death,1946,"Michael Powell, Emeric Pressburger",Standalone,104,"Romance, Fantasy, Drama, Comedy",United Kingdom,English,2.0738,7.755,460,8,NA,28162,a-matter-of-life-and-death-1946
938,"sex, lies, and videotape",1989,Steven Soderbergh,Standalone,101,Drama,United States of America,English,4.3223,6.939,1010,7.2,86,1412,sex-lies-and-videotape-1989
937,Dragon Inn,1967,King Hu,Standalone,111,"Action, Adventure",Taiwan,Mandarin,2.2445,7.343,137,7.4,100,104237,dragon-inn-1967
936,Bull Durham,1988,Ron Shelton,Standalone,108,"Comedy, Romance",United States of America,English,3.2534,6.604,662,7,73,287,bull-durham-1988
935,The Devil Is a Woman,1935,Josef von Sternberg,Dietrich & von Sternberg in Hollywood,80,"Comedy, Drama, Romance, History",United States of America,English,0.7719,6.2,70,6.9,NA,42943,the-devil-is-a-woman-1935
934,Blonde Venus,1932,Josef von Sternberg,Dietrich & von Sternberg in Hollywood,93,Drama,United States of America,English,1.0159,6.8,144,7.1,NA,34474,blonde-venus-1932
933,Shanghai Express,1932,Josef von Sternberg,Dietrich & von Sternberg in Hollywood,82,"Drama, Romance, War, Crime, History",United States of America,English,1.2648,7,229,7.3,83,875,shanghai-express-1932
932,Dishonored,1931,Josef von Sternberg,Dietrich & von Sternberg in Hollywood,91,"Drama, War, Romance",United States of America,English,2.9392,6.8,75,7.2,NA,73420,dishonored-1931
931,Morocco,1930,Josef von Sternberg,Dietrich & von Sternberg in Hollywood,92,"Drama, Romance",United States of America,English,2.3568,6.4,158,7,NA,42641,morocco-1930
929,Female Trouble,1974,John Waters,Standalone,98,"Comedy, Crime",United States of America,English,1.4072,6.914,220,7.1,NA,14267,female-trouble-1974
928,Bowling for Columbine,2002,Michael Moore,Standalone,120,"Documentary, Drama","Canada, Germany, United States of America",English,8.3088,7.509,1666,8,72,1430,bowling-for-columbine-2002
927,El Sur,1983,Victor Erice,Standalone,95,Drama,"Spain, France",Spanish; Castilian,1.0053,7.7,148,7.8,NA,48139,el-sur-1983
926,Manila in the Claws of Light,1975,Lino Brocka,Standalone,127,"Drama, Mystery",Philippines,Tagalog,0.6231,7.3,71,7.8,NA,70580,manila-in-the-claws-of-light-1975
925,Midnight Cowboy,1969,John Schlesinger,Standalone,113,Drama,United States of America,English,3.3031,7.51,1567,7.8,79,3116,midnight-cowboy-1969
924,Graduation,2016,Cristian Mungiu,Standalone,116,"Comedy, Action, Science Fiction",Japan,Japanese,2.5721,7.121,103,7.3,84,359628,graduation-2016
923,Beyond the Hills,2012,Cristian Mungiu,Standalone,150,"Drama, Romance","Belgium, France, Romania",Romanian; Moldavian; Moldovan,1.1647,7.133,207,7.5,79,103740,beyond-the-hills-2012
922,The Other Side of Hope,2017,Aki Kaurismäki,Standalone,101,"Comedy, Drama","Finland, Germany",Finnish,1.2228,6.945,354,7.2,84,429199,the-other-side-of-hope-2017
921,Moonrise,1948,Frank Borzage,Standalone,90,Drama,United States of America,English,1.0091,6.2,73,7,NA,28392,moonrise-1948
920,The Virgin Suicides,1999,Sofia Coppola,Standalone,97,"Drama, Romance",United States of America,English,5.6795,7.13,3560,7.2,77,1443,the-virgin-suicides-1999
919,Dead Man,1995,Jim Jarmusch,Standalone,122,"Drama, Fantasy, Western","United States of America, Germany, Japan",English,3.2391,7.309,1704,7.5,62,922,dead-man-1995
918,The Color of Pomegranates,1969,Sergei Parajanov,Standalone,80,"Drama, History",Soviet Union,Armenian,2.8068,7.327,330,7.6,NA,26302,the-color-of-pomegranates-1969
917,The Awful Truth,1937,Leo McCarey,Standalone,91,"Comedy, Romance",United States of America,English,1.3653,7.2,347,7.6,87,14675,the-awful-truth-1937
916,Women in Love,1969,Ken Russell,Standalone,131,"Drama, Romance",United Kingdom,English,2.2863,6.6,134,7.1,NA,66027,women-in-love-1969
915,King of Jazz,1930,John Murray Anderson,Standalone,100,"Animation, Music",United States of America,English,0.8273,6.2,38,6.7,NA,108213,king-of-jazz-1930
914,Baal,1970,Volker Schlöndorff,Standalone,84,Drama,Germany,German,0.5756,5.6,18,6.4,NA,252767,baal-1970
913,The Age of Innocence,1993,Martin Scorsese,Standalone,138,"Drama, Romance",United States of America,English,2.7485,6.962,1198,7.2,90,10436,the-age-of-innocence-1993
912,An Actor's Revenge,1963,Kon Ichikawa,Standalone,114,Drama,Japan,Japanese,1.6917,6.614,70,7.3,NA,27197,an-actors-revenge-1963
911,The Hero,1966,Satyajit Ray,Standalone,131,"Action, Drama, War",United Kingdom,English,1.6975,6.928,173,8.2,NA,16850,the-hero-1966
910,Tom Jones,1963,Tony Richardson,Standalone,128,"Comedy, Romance, History",United Kingdom,English,1.9344,5.9,236,6.4,77,5769,tom-jones-1963
909,Night of the Living Dead,1968,George Romero,Standalone,96,"Horror, Thriller, Science Fiction",United States of America,English,2.7326,7.617,2684,7.8,89,10331,night-of-the-living-dead-1968
908,Comradeship,1931,G.W. Pabst,Standalone,93,Drama,"Germany, France",German,0.7705,7,40,7.5,NA,42836,comradeship-1931
907,Westfront 1918,1930,G.W. Pabst,Standalone,97,"War, Drama",Germany,German,0.6962,6.555,55,7.3,NA,80705,westfront-1918-1930
906,"I, Daniel Blake",2016,Ken Loach,Standalone,100,Drama,"United Kingdom, France, Belgium",English,2.1686,7.709,1516,7.8,78,374473,i-daniel-blake-2016
905,The Breakfast Club,1985,John Hughes,Standalone,98,"Comedy, Drama",United States of America,English,6.7752,7.724,8452,7.8,66,2108,the-breakfast-club-1985
904,Election,1999,Alexander Payne,Standalone,103,"Comedy, Drama",United States of America,English,2.6625,6.861,1170,7.2,83,9451,election-1999
903,Jabberwocky,1977,Terry Gilliam,Standalone,105,"Fantasy, Comedy",United Kingdom,English,2.1025,6.005,309,6.1,61,11834,jabberwocky-1977
902,Desert Hearts,1985,Donna Deitch,Standalone,91,"Drama, Romance",United States of America,English,1.2218,7,169,7.1,67,294,desert-hearts-1985
901,The Philadelphia Story,1940,George Cukor,Standalone,113,"Comedy, Romance",United States of America,English,1.8342,7.6,961,7.8,96,981,the-philadelphia-story-1940
900,First,2012,Caroline Rowland,100 Years of Olympic Films,109,Documentary,United Kingdom,English,0.3821,5.9,8,5.6,NA,145656,first-2012
900,Bud Greenspan Presents Vancouver 2010: Stories of Olympic Glory,2011,Nancy Beffa,100 Years of Olympic Films,116,Documentary,United States of America,English,0.3079,5.2,6,6.3,NA,471059,bud-greenspan-presents-vancouver-2010-stories-of-olympic-glory-2011
900,The Everlasting Flame,2009,Gu Jun,100 Years of Olympic Films,110,Documentary,China,English,0.5513,9,5,6.4,NA,471058,the-everlasting-flame-2009
900,Bud Greenspan’s Torino 2006: Stories of Olympic Glory,2007,Bud Greenspan,100 Years of Olympic Films,88,Documentary,United States of America,English,0.3708,6,2,6.4,NA,471057,bud-greenspans-torino-2006-stories-of-olympic-glory-2007
900,Bud Greenspan’s Athens 2004: Stories of Olympic Glory,2005,Bud Greenspan,100 Years of Olympic Films,96,Documentary,United States of America,English,0.0747,6,2,6.3,NA,471056,bud-greenspans-athens-2004-stories-of-olympic-glory-2005
900,Salt Lake City 2002: Stories of Olympic Glory,2003,Bud Greenspan,100 Years of Olympic Films,120,Documentary,United States of America,English,0.5421,5.867,6,6.6,NA,55454,salt-lake-city-2002-stories-of-olympic-glory-2003
900,Sydney 2000: Stories of Olympic Glory,2001,Bud Greenspan,100 Years of Olympic Films,116,Documentary,Australia,English,0.505,7.3,3,6.8,NA,471051,sydney-2000-stories-of-olympic-glory-2001
900,Olympic Glory,1999,Kieth Merrill,100 Years of Olympic Films,42,Documentary,United States of America,English,0.5215,5.2,8,6,NA,471050,olympic-glory-1999
900,Nagano ’98 Olympics: Stories of Honor and Glory,1998,Bud Greenspan,100 Years of Olympic Films,119,Documentary,United States of America,English,0.2391,5.8,5,7.6,NA,471049,nagano-98-olympics-stories-of-honor-and-glory-1998
900,Atlanta’s Olympic Glory,1997,Bud Greenspan,100 Years of Olympic Films,206,Documentary,United States of America,English,0.3044,4.4,5,6.9,NA,471048,atlantas-olympic-glory-1997
900,Lillehammer ’94: 16 Days of Glory,1994,Bud Greenspan,100 Years of Olympic Films,209,Documentary,United States of America,English,0.3537,5.2,6,7.2,NA,471047,lillehammer-94-16-days-of-glory-1994
900,Marathon,1993,Carlos Saura,100 Years of Olympic Films,130,Documentary,Spain,Spanish; Castilian,0.7339,4.5,6,6.7,NA,463104,marathon-1993
900,"One Light, One World",1992,NA,100 Years of Olympic Films,104,Documentary,United States of America,English,0.4591,5.3,6,5.7,NA,471045,one-light-one-world-1992
900,Beyond All Barriers,1989,Lee Ji-won,100 Years of Olympic Films,92,Documentary,South Korea,Korean,0.0786,5,4,5.9,NA,471044,beyond-all-barriers-1989
900,Hand in Hand,1989,Im Kwon-taek,100 Years of Olympic Films,119,Documentary,South Korea,Korean,0.2112,6,5,6.7,NA,471043,hand-in-hand-1989
900,Seoul 1988,1989,Lee Kwang-soo,100 Years of Olympic Films,139,Documentary,South Korea,English,0.2083,6,9,5.9,NA,471042,seoul-1988-1989
900,Calgary ’88: 16 Days of Glory,1989,Bud Greenspan,100 Years of Olympic Films,202,Documentary,Canada,English,0.1784,5,3,7.2,NA,471038,calgary-88-16-days-of-glory-1989
