movie_id,country
the-beloved-child-or-i-play-at-being-a-married-woman-1971,Belgium
saute-ma-ville-1968,Belgium
lone-star-1996,United States of America
guillermo-del-toros-pinocchio-2022,United States of America
circus-angel-1965,France
stowaway-in-the-sky-1960,France
the-red-balloon-1956,France
white-mane-1953,France
bim-the-little-donkey-1951,France
la-cérémonie-1995,France
la-cérémonie-1995,Germany
mean-streets-1973,United States of America
my-lucky-stars-1985,Hong Kong
the-young-master-1980,Hong Kong
fearless-hyena-2-1983,Hong Kong
fearless-hyena-1979,Hong Kong
spiritual-kung-fu-1978,Hong Kong
half-a-loaf-of-kung-fu-1978,Hong Kong
half-a-loaf-of-kung-fu-1978,Taiwan
nanny-2022,United States of America
the-others-2001,Spain
the-others-2001,United States of America
the-others-2001,France
freaks-1932,United States of America
the-unknown-1927,United States of America
the-mystic-1925,United States of America
la-bamba-1987,United States of America
moonage-daydream-2022,Germany
moonage-daydream-2022,United States of America
the-trial-1962,France
the-trial-1962,Germany
the-trial-1962,Italy
drylongso-1998,United States of America
adalen-31-1969,Sweden
elvira-madigan-1967,Sweden
ravens-end-1963,Sweden
the-baby-carriage-1963,Sweden
dim-sum-a-little-bit-of-heart-1985,United States of America
one-false-move-1991,United States of America
comanche-station-1960,United States of America
ride-lonesome-1959,United States of America
buchanan-rides-alone-1958,United States of America
decision-at-sundown-1957,United States of America
the-tall-t-1957,United States of America
after-hours-1985,United States of America
the-watermelon-woman-1996,United States of America
medicine-for-melancholy-2008,United States of America
the-servant-1963,United Kingdom
petite-maman-2021,France
thelma-louise-1991,United Kingdom
thelma-louise-1991,United States of America
targets-1968,United States of America
triangle-of-sadness-2022,Denmark
triangle-of-sadness-2022,France
triangle-of-sadness-2022,Germany
triangle-of-sadness-2022,Greece
triangle-of-sadness-2022,Mexico
triangle-of-sadness-2022,Sweden
triangle-of-sadness-2022,Switzerland
triangle-of-sadness-2022,Turkey
triangle-of-sadness-2022,United Kingdom
triangle-of-sadness-2022,United States of America
mangrove-2020,United Kingdom
lovers-rock-2020,United Kingdom
red-white-and-blue-2020,United Kingdom
alex-wheatle-2020,United Kingdom
education-2020,United Kingdom
chilly-scenes-of-winter-1979,United States of America
inland-empire-2006,United States of America
inland-empire-2006,France
inland-empire-2006,Poland
last-hurrah-for-chivalry-1979,Hong Kong
hollywood-shuffle-1987,United States of America
baxter-vera-baxter-1977,France
india-song-1975,France
romeo-and-juliet-1968,Italy
romeo-and-juliet-1968,United Kingdom
romeo-and-juliet-1968,United States of America
bergman-island-2021,France
bergman-island-2021,Germany
bergman-island-2021,Belgium
bergman-island-2021,Sweden
bergman-island-2021,Mexico
bergman-island-2021,Brazil
this-is-not-a-burial-its-a-resurrection-2019,South Africa
epidemic-1987,Denmark
imitation-of-life-1934,United States of America
the-adventures-of-baron-munchausen-1988,Germany
the-adventures-of-baron-munchausen-1988,United Kingdom
the-adventures-of-baron-munchausen-1988,United States of America
cooley-high-1975,United States of America
the-velvet-underground-2021,United States of America
71-fragments-of-a-chronology-of-chance-1994,Austria
71-fragments-of-a-chronology-of-chance-1994,Germany
bennys-video-1992,Austria
bennys-video-1992,Switzerland
the-seventh-continent-1989,Austria
the-girls-1968,France
night-games-1966,Sweden
loving-couples-1964,Sweden
walle-2008,United States of America
malcolm-x-1992,United States of America
malcolm-x-1992,Netherlands Antilles
infernal-affairs-iii-2003,China
infernal-affairs-iii-2003,Hong Kong
infernal-affairs-iii-2003,Taiwan
infernal-affairs-ii-2003,China
infernal-affairs-ii-2003,Hong Kong
infernal-affairs-ii-2003,Taiwan
infernal-affairs-2002,Hong Kong
the-power-of-the-dog-2021,Australia
the-power-of-the-dog-2021,Canada
the-power-of-the-dog-2021,New Zealand
the-power-of-the-dog-2021,United Kingdom
daisies-1966,Czechoslovakia
la-llorona-2019,Guatemala
la-llorona-2019,France
cure-1997,Japan
eves-bayou-1997,United States of America
arsenic-and-old-lace-1944,United States of America
lost-highway-1997,France
lost-highway-1997,United States of America
sound-of-metal-2019,United States of America
exotica-1994,Canada
take-out-2004,United States of America
kalpana-1948,India
two-girls-on-the-street-1939,Hungary
muna-moto-1975,Cameroon
chess-of-the-wind-1976,Iran
prisoners-of-the-land-1939,Argentina
sambizanga-1972,Angola
sambizanga-1972,France
sambizanga-1972,Congo
faya-dayi-2021,Ethiopia
faya-dayi-2021,United States of America
buck-and-the-preacher-1972,United States of America
hôtel-du-nord-1938,France
daddy-longlegs-2009,France
daddy-longlegs-2009,United States of America
frownland-2007,United States of America
drive-my-car-2021,Japan
devil-in-a-blue-dress-1995,United States of America
raging-bull-1980,United States of America
okja-2017,South Korea
okja-2017,United States of America
the-worst-person-in-the-world-2021,Norway
the-worst-person-in-the-world-2021,Sweden
the-worst-person-in-the-world-2021,Denmark
the-worst-person-in-the-world-2021,France
pink-flamingos-1972,United States of America
shaft-1971,United States of America
rouge-1987,Hong Kong
farewell-amor-2020,United States of America
farewell-amor-2020,United Kingdom
mississippi-masala-1991,United Kingdom
mississippi-masala-1991,United States of America
double-indemnity-1944,United States of America
the-funeral-1984,Japan
chan-is-missing-1982,United States of America
mr-klein-1976,France
mr-klein-1976,Italy
round-midnight-1986,United States of America
round-midnight-1986,France
eyimofe-this-is-my-desire-2020,Nigeria
the-girl-cant-help-it-1956,United States of America
miracle-in-milan-1951,Italy
the-last-waltz-1978,United States of America
love-jones-1997,United States of America
the-flight-of-the-phoenix-1965,United States of America
adoption-1975,Hungary
love-affair-1939,United States of America
boat-people-1982,Hong Kong
millers-crossing-1990,United States of America
dick-johnson-is-dead-2020,United States of America
the-piano-1993,Australia
the-piano-1993,France
time-2020,United States of America
the-celebration-1998,Denmark
the-celebration-1998,Sweden
the-learning-tree-1969,United States of America
one-night-in-miami-2020,United States of America
menace-ii-society-1993,United States of America
citizen-kane-1941,United States of America
once-upon-a-time-in-china-v-1994,Hong Kong
once-upon-a-time-in-china-iv-1993,Hong Kong
once-upon-a-time-in-china-iv-1993,China
once-upon-a-time-in-china-iii-1992,Hong Kong
once-upon-a-time-in-china-ii-1992,Hong Kong
once-upon-a-time-in-china-1991,Hong Kong
devi-1960,Sweden
uncut-gems-2019,United States of America
the-incredible-shrinking-man-1957,United States of America
high-sierra-1941,United States of America
the-damned-1969,Germany
the-damned-1969,Italy
love-basketball-2000,United States of America
dont-play-us-cheap-1973,United States of America
sweet-sweetbacks-baadasssss-song-1971,United States of America
watermelon-man-1970,United States of America
the-story-of-a-threeday-pass-1967,France
throw-down-2004,Hong Kong
throw-down-2004,China
beasts-of-no-nation-2015,Brazil
beasts-of-no-nation-2015,United States of America
original-cast-album-company-1970,United States of America
after-life-1998,Japan
the-swimming-pool-1969,France
the-swimming-pool-1969,Italy
working-girls-1986,United States of America
deep-cover-1992,United States of America
bringing-up-baby-1938,United States of America
mirror-1975,Soviet Union
pariah-2011,United States of America
black-is-black-aint-1994,United States of America
no-regret-1993,Hong Kong
color-adjustment-1992,United States of America
anthem-1992,United States of America
affirmations-1990,United States of America
tongues-untied-1989,United States of America
ethnic-notions-1986,United States of America
visions-of-eight-1973,Germany
visions-of-eight-1973,United States of America
tiny-the-life-of-erin-blackwell-2016,United States of America
streetwise-1984,United States of America
nightmare-alley-1947,United States of America
flowers-of-shanghai-1998,Taiwan
merrily-we-go-to-hell-1932,United States of America
fast-times-at-ridgemont-high-1982,United States of America
irma-vep-1996,France
memories-of-murder-2003,South Korea
history-is-made-at-night-1937,United States of America
defending-your-life-1991,United States of America
secrets-lies-1996,United Kingdom
secrets-lies-1996,France
céline-and-julie-go-boating-1974,France
smooth-talk-1985,United States of America
smooth-talk-1985,United Kingdom
chop-shop-2007,United States of America
man-push-cart-2005,United States of America
mandabi-1968,Senegal
mandabi-1968,France
the-parallax-view-1974,United States of America
the-ascent-1977,Soviet Union
rolling-thunder-revue-a-bob-dylan-story-by-martin-scorsese-2019,United States of America
minding-the-gap-2018,United States of America
amores-perros-2000,Mexico
crash-1996,Canada
crash-1996,United Kingdom
the-irishman-2019,United States of America
ghost-dog-the-way-of-the-samurai-1999,France
ghost-dog-the-way-of-the-samurai-1999,Germany
ghost-dog-the-way-of-the-samurai-1999,Japan
ghost-dog-the-way-of-the-samurai-1999,United States of America
moonstruck-1987,United States of America
girlfriends-1978,United States of America
parasite-2019,South Korea
the-gunfighter-1950,United States of America
claudine-1974,United States of America
the-elephant-man-1980,United States of America
downpour-1972,Iran
oh-sun-1970,France
oh-sun-1970,Mauritania
two-monks-1934,Mexico
pixote-1980,Brazil
after-the-curfew-1954,Indonesia
lucía-1968,Cuba
christ-stopped-at-eboli-1979,France
christ-stopped-at-eboli-1979,Italy
beau-travail-1999,France
the-comfort-of-strangers-1990,Italy
the-comfort-of-strangers-1990,United Kingdom
the-comfort-of-strangers-1990,United States of America
toni-1935,France
town-bloody-hall-1979,United States of America
marriage-story-2019,United Kingdom
the-war-of-the-worlds-1953,United States of America
game-of-death-1978,United States of America
game-of-death-1978,Hong Kong
enter-the-dragon-1973,Hong Kong
enter-the-dragon-1973,United States of America
the-way-of-the-dragon-1972,Hong Kong
fist-of-fury-1972,Hong Kong
the-big-boss-1971,Hong Kong
come-and-see-1985,Soviet Union
portrait-of-a-lady-on-fire-2019,France
the-cameraman-1928,United States of America
an-unmarried-woman-1978,United States of America
wildlife-2018,United States of America
italianamerican-1974,United States of America
american-boy-a-profile-of-steven-prince-1978,United States of America
the-big-shave-1967,United States of America
its-not-just-you-murray-1964,United States of America
whats-a-nice-girl-like-you-doing-in-a-place-like-this-1963,United States of America
husbands-1970,United States of America
dance-girl-dance-1940,United States of America
the-great-escape-1963,United States of America
me-and-you-and-everyone-we-know-2005,United Kingdom
me-and-you-and-everyone-we-know-2005,United States of America
the-grand-budapest-hotel-2014,United States of America
the-grand-budapest-hotel-2014,Germany
destry-rides-again-1939,United States of America
the-cremator-1969,Czechoslovakia
the-prince-of-tides-1991,United States of America
show-boat-1936,United States of America
leave-her-to-heaven-1945,United States of America
bamboozled-2000,United States of America
paris-is-burning-1990,United States of America
the-fabulous-baron-munchausen-1962,Czechoslovakia
the-fabulous-world-of-jules-verne-1958,Czechoslovakia
journey-to-the-beginning-of-time-1955,Czechoslovakia
roma-2018,United Kingdom
roma-2018,United States of America
theorem-1968,Italy
all-about-my-mother-1999,Spain
all-about-my-mother-1999,France
fail-safe-1964,United States of America
the-little-soldier-1963,France
holiday-1938,United States of America
old-joy-2006,United States of America
until-the-end-of-the-world-1991,Germany
until-the-end-of-the-world-1991,Australia
until-the-end-of-the-world-1991,France
the-story-of-temple-drake-1933,United States of America
cold-war-2018,Poland
cold-war-2018,United Kingdom
cold-war-2018,France
now-voyager-1942,United States of America
all-about-eve-1950,United States of America
betty-blue-1986,France
the-daytrippers-1996,United States of America
terror-of-mechagodzilla-1975,Japan
godzilla-vs-mechagodzilla-1974,Japan
godzilla-vs-megalon-1973,Japan
godzilla-vs-gigan-1972,Japan
godzilla-vs-hedorah-1971,Japan
all-monsters-attack-1969,Japan
destroy-all-monsters-1968,Japan
son-of-godzilla-1967,Japan
ebirah-horror-of-the-deep-1966,Japan
invasion-of-astromonster-1965,Japan
invasion-of-astromonster-1965,United States of America
ghidorah-the-threeheaded-monster-1964,Japan
mothra-vs-godzilla-1964,Japan
king-kong-vs-godzilla-1963,Japan
king-kong-vs-godzilla-1962,Japan
godzilla-raids-again-1955,Japan
matewan-1987,United States of America
when-we-were-kings-1996,United States of America
cluny-brown-1946,United States of America
the-circus-1928,United States of America
polyester-1981,United Kingdom
polyester-1981,United States of America
local-hero-1983,United Kingdom
the-cloudcapped-star-1960,India
through-the-olive-trees-1994,Iran
through-the-olive-trees-1994,France
life-and-nothing-more-1992,Iran
where-is-the-friends-house-1987,Iran
the-flavor-of-green-tea-over-rice-1952,Japan
the-inland-sea-1991,Japan
the-inland-sea-1991,United States of America
klute-1971,United States of America
the-bakers-wife-1938,France
europa-europa-1990,France
europa-europa-1990,Germany
europa-europa-1990,Poland
nineteen-eightyfour-1984,United Kingdom
war-and-peace-1965,Soviet Union
hedwig-and-the-angry-inch-2001,United States of America
humanité-1999,France
the-life-of-jesus-1997,France
swing-time-1936,United States of America
one-sings-the-other-doesnt-1977,Belgium
one-sings-the-other-doesnt-1977,France
one-sings-the-other-doesnt-1977,Netherlands Antilles
blue-velvet-1986,United States of America
let-the-sunshine-in-2017,Belgium
let-the-sunshine-in-2017,France
funny-games-1997,Austria
the-heiress-1949,United States of America
my-brilliant-career-1979,Australia
police-story-2-1988,Hong Kong
police-story-1985,Hong Kong
a-face-in-the-crowd-1957,United States of America
diamonds-of-the-night-1964,Czechoslovakia
japón-2002,Germany
japón-2002,Mexico
japón-2002,Netherlands
japón-2002,Spain
i-wanna-hold-your-hand-1978,United States of America
detour-1945,United States of America
wanda-1970,United States of America
the-kid-brother-1927,United States of America
to-sleep-with-anger-1990,United States of America
death-in-venice-1971,France
death-in-venice-1971,Italy
shame-1968,Sweden
the-truth-1960,France
the-truth-1960,Italy
in-the-heat-of-the-night-1967,United States of America
4-months-3-weeks-and-2-days-2007,Belgium
4-months-3-weeks-and-2-days-2007,Romania
mikey-and-nicky-1976,United States of America
24-frames-2017,Iran
24-frames-2017,France
panic-1946,France
forty-guns-1957,United States of America
a-dry-white-season-1989,United States of America
the-magnificent-ambersons-1942,United States of America
true-stories-1986,United States of America
some-like-it-hot-1959,United States of America
a-story-from-chikamatsu-1954,Japan
the-princess-bride-1987,United States of America
shampoo-1975,United States of America
eight-hours-dont-make-a-day-1972,Germany
a-raisin-in-the-sun-1961,United States of America
cold-water-1994,France
memories-of-underdevelopment-1968,Cuba
the-tree-of-life-2011,United States of America
smithereens-1982,United States of America
the-ballad-of-gregorio-cortez-1982,United States of America
a-matter-of-life-and-death-1946,United Kingdom
sex-lies-and-videotape-1989,United States of America
dragon-inn-1967,Taiwan
bull-durham-1988,United States of America
the-devil-is-a-woman-1935,United States of America
blonde-venus-1932,United States of America
shanghai-express-1932,United States of America
dishonored-1931,United States of America
morocco-1930,United States of America
female-trouble-1974,United States of America
bowling-for-columbine-2002,Canada
bowling-for-columbine-2002,Germany
bowling-for-columbine-2002,United States of America
el-sur-1983,Spain
el-sur-1983,France
manila-in-the-claws-of-light-1975,Philippines
midnight-cowboy-1969,United States of America
graduation-2016,Japan
beyond-the-hills-2012,Belgium
beyond-the-hills-2012,France
beyond-the-hills-2012,Romania
the-other-side-of-hope-2017,Finland
the-other-side-of-hope-2017,Germany
moonrise-1948,United States of America
the-virgin-suicides-1999,United States of America
dead-man-1995,United States of America
dead-man-1995,Germany
dead-man-1995,Japan
the-color-of-pomegranates-1969,Soviet Union
the-awful-truth-1937,United States of America
women-in-love-1969,United Kingdom
king-of-jazz-1930,United States of America
baal-1970,Germany
the-age-of-innocence-1993,United States of America
an-actors-revenge-1963,Japan
the-hero-1966,United Kingdom
tom-jones-1963,United Kingdom
night-of-the-living-dead-1968,United States of America
comradeship-1931,Germany
comradeship-1931,France
westfront-1918-1930,Germany
i-daniel-blake-2016,United Kingdom
i-daniel-blake-2016,France
i-daniel-blake-2016,Belgium
the-breakfast-club-1985,United States of America
election-1999,United States of America
jabberwocky-1977,United Kingdom
desert-hearts-1985,United States of America
the-philadelphia-story-1940,United States of America
first-2012,United Kingdom
bud-greenspan-presents-vancouver-2010-stories-of-olympic-glory-2011,United States of America
the-everlasting-flame-2009,China
bud-greenspans-torino-2006-stories-of-olympic-glory-2007,United States of America
bud-greenspans-athens-2004-stories-of-olympic-glory-2005,United States of America
salt-lake-city-2002-stories-of-olympic-glory-2003,United States of America
sydney-2000-stories-of-olympic-glory-2001,Australia
olympic-glory-1999,United States of America
nagano-98-olympics-stories-of-honor-and-glory-1998,United States of America
atlantas-olympic-glory-1997,United States of America
lillehammer-94-16-days-of-glory-1994,United States of America
marathon-1993,Spain
one-light-one-world-1992,United States of America
beyond-all-barriers-1989,South Korea
hand-in-hand-1989,South Korea
seoul-1988-1989,South Korea
calgary-88-16-days-of-glory-1989,Canada
16-days-of-glory-1985,United States of America
a-turning-point-1984,United States of America
a-turning-point-1984,Yugoslavia
o-sport-you-are-peace-1981,Soviet Union
olympic-spirit-1980,United Kingdom
games-of-the-xxi-olympiad-1977,Canada
white-rock-1977,United Kingdom
sapporo-winter-olympics-1972,Japan
the-olympics-in-mexico-1969,Mexico
snows-of-grenoble-1968,France
13-days-in-france-1968,France
sensation-of-the-century-1966,Japan
ix-olympic-winter-games-innsbruck-1964-1964,Austria
the-grand-olympics-1961,Italy
people-hopes-medals-1960,United States of America
people-hopes-medals-1960,Germany
the-horse-in-focus-1956,Sweden
alain-mimoun-1959,France
the-melbourne-rendezvous-1957,France
olympic-games-1956-1956,Australia
white-vertigo-1956,Italy
memories-of-the-olympic-summer-of-1952-1954,Finland
gold-and-glory-1953,Finland
where-the-world-meets-1952,Finland
the-vi-olympic-winter-games-oslo-1952-1952,Norway
xivth-olympiad-the-glory-of-sport-1948,United Kingdom
fight-without-hate-1948,France
olympia-part-two-festival-of-beauty-1938,Germany
olympia-part-one-festival-of-the-nations-1938,Germany
youth-of-the-world-1936,Germany
the-olympic-games-amsterdam-1928-1928,NA
the-ix-olympiad-in-amsterdam-1928,Italy
the-white-stadium-1928,Switzerland
the-olympic-games-in-paris-1924-1925,France
the-olympic-games-as-they-were-practiced-in-ancient-greece-1924,France
the-1924-chamonix-olympic-games-1924,France
the-games-of-the-v-olympiad-stockholm-1912-2017,Sweden
the-games-of-the-v-olympiad-stockholm-1912-2017,Switzerland
personal-shopper-2016,Belgium
personal-shopper-2016,Czech Republic
personal-shopper-2016,France
personal-shopper-2016,Germany
personal-shopper-2016,United Kingdom
twin-peaks-fire-walk-with-me-1992,United States of America
barry-lyndon-1975,United Kingdom
barry-lyndon-1975,United States of America
the-lure-2015,Poland
david-lynch-the-art-life-2016,United States of America
the-piano-teacher-2001,France
the-piano-teacher-2001,Austria
certain-women-2016,United States of America
festival-1967,United States of America
