movie_id,genre
i-walked-with-a-zombie-1943,Mystery
i-walked-with-a-zombie-1943,Horror
i-walked-with-a-zombie-1943,Drama
happiness-1998,Comedy
happiness-1998,Drama
all-of-us-strangers-2023,Romance
all-of-us-strangers-2023,Drama
all-of-us-strangers-2023,Fantasy
nowhere-1997,Comedy
nowhere-1997,Drama
nowhere-1997,Science Fiction
the-doom-generation-1995,Comedy
the-doom-generation-1995,Crime
the-doom-generation-1995,Drama
totally-fed-up-1993,Comedy
totally-fed-up-1993,Drama
mother-1996,Comedy
mother-1996,Drama
real-life-1979,Comedy
not-a-pretty-picture-1976,Crime
not-a-pretty-picture-1976,Drama
not-a-pretty-picture-1976,Documentary
the-long-farewell-1971,Drama
brief-encounters-1967,Romance
brief-encounters-1967,Drama
farewell-my-concubine-1993,Drama
risky-business-1983,Romance
risky-business-1983,Comedy
risky-business-1983,Drama
perfect-days-2023,Drama
black-god-white-devil-1964,Adventure
black-god-white-devil-1964,Western
black-god-white-devil-1964,Drama
pat-garrett-billy-the-kid-1973,Western
pat-garrett-billy-the-kid-1973,Drama
the-underground-railroad-2021,Drama
the-underground-railroad-2021,Science Fiction
victims-of-sin-1951,Drama
victims-of-sin-1951,Crime
querelle-1982,Drama
querelle-1982,Crime
bound-1996,Drama
bound-1996,Thriller
bound-1996,Crime
girlfight-2000,Drama
anatomy-of-a-fall-2023,Thriller
anatomy-of-a-fall-2023,Mystery
anatomy-of-a-fall-2023,Crime
ceddo-1977,Drama
xala-1975,Comedy
emitaï-1971,Drama
dogfight-1991,Drama
dogfight-1991,Romance
werckmeister-harmonies-2000,Drama
i-am-cuba-1964,Drama
to-die-for-1995,Drama
to-die-for-1995,Comedy
to-die-for-1995,Crime
saint-omer-2022,Drama
saint-omer-2022,Crime
the-runner-1984,Drama
all-the-beauty-and-the-bloodshed-2022,Documentary
nothing-but-a-man-1964,Drama
nothing-but-a-man-1964,Romance
the-roaring-twenties-1939,Crime
the-roaring-twenties-1939,Drama
the-roaring-twenties-1939,Thriller
heroic-trio-2-executioners-1993,Action
heroic-trio-2-executioners-1993,Comedy
heroic-trio-2-executioners-1993,Science Fiction
the-heroic-trio-1993,Action
the-heroic-trio-1993,Fantasy
the-heroic-trio-1993,Thriller
the-heroic-trio-1993,Adventure
the-heroic-trio-1993,Science Fiction
a-tale-of-autumn-1998,Drama
a-tale-of-autumn-1998,Romance
a-summers-tale-1996,Romance
a-summers-tale-1996,Drama
a-summers-tale-1996,Comedy
a-tale-of-winter-1992,Drama
a-tale-of-winter-1992,Romance
a-tale-of-springtime-1990,Drama
